scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,112.77366638183594,79.92550659179688,0.9999985694885254,90.50890350341797,114.55204772949219,0.9999995231628418,84.09459686279297,85.81829833984375,1.0,117.43143463134766,106.53593444824219,0.9999991655349731
34,112.77366638183594,80.12482452392578,0.9999990463256836,90.53146362304688,114.47576141357422,0.9999995231628418,84.2232894897461,85.81829833984375,1.0,117.2174301147461,106.53593444824219,0.999999463558197
35,112.9881591796875,80.21211242675781,0.9999990463256836,90.6863021850586,114.24392700195312,0.9999997615814209,84.25865173339844,85.79627990722656,1.0,116.94589233398438,106.68356323242188,0.9999995827674866
36,113.0755386352539,80.21211242675781,0.9999991059303284,90.89038848876953,114.24392700195312,0.9999997615814209,84.29048919677734,85.79627990722656,1.0,116.94589233398438,106.70758056640625,0.9999997615814209
37,113.0755386352539,80.21211242675781,0.9999992847442627,91.02565002441406,114.21568298339844,0.9999997615814209,84.4802474975586,85.56893920898438,1.0,117.0936279296875,106.70758056640625,0.9999998807907104
38,113.0755386352539,80.36907196044922,0.9999995231628418,90.89038848876953,114.21568298339844,0.9999998211860657,84.4802474975586,85.56893920898438,1.0,116.94589233398438,106.78828430175781,0.9999998211860657
39,113.0755386352539,80.36907196044922,0.9999995231628418,90.89038848876953,114.21568298339844,0.9999998807907104,84.4802474975586,85.56893920898438,1.0,116.94589233398438,106.78828430175781,0.9999998807907104
40,112.9500961303711,80.42813873291016,0.9999992847442627,90.64376831054688,114.40247344970703,0.9999998211860657,84.32200622558594,86.09050750732422,1.0,116.78251647949219,107.0293960571289,0.9999998807907104
41,112.55490112304688,80.42813873291016,0.9999988079071045,90.63987731933594,114.43989562988281,0.9999997615814209,84.09745788574219,86.11710357666016,1.0,116.77098846435547,107.0293960571289,0.9999997615814209
42,112.55490112304688,80.42813873291016,0.999998927116394,90.44637298583984,114.54570007324219,0.9999997615814209,84.06163787841797,86.11710357666016,1.0,116.72930145263672,107.0293960571289,0.9999997615814209
43,112.55490112304688,80.36184692382812,0.9999987483024597,90.3781509399414,114.64234161376953,0.9999996423721313,84.04010009765625,86.15174865722656,1.0,116.58572387695312,107.0293960571289,0.9999997615814209
44,112.54796600341797,80.36184692382812,0.9999984502792358,90.3781509399414,114.6819076538086,0.9999997019767761,83.97488403320312,86.15174865722656,1.0,116.58572387695312,107.30807495117188,0.9999997019767761
45,112.53504943847656,80.26603698730469,0.9999986886978149,90.3781509399414,114.6819076538086,0.9999997615814209,83.97488403320312,86.15174865722656,1.0,116.66602325439453,106.9413070678711,0.9999997019767761
46,112.57881927490234,80.24369812011719,0.999998927116394,90.39884185791016,114.6819076538086,0.9999996423721313,83.97488403320312,86.13348388671875,1.0,116.66602325439453,106.9413070678711,0.9999997019767761
47,112.95279693603516,80.08573913574219,0.9999989867210388,90.80180358886719,114.6819076538086,0.9999997615814209,83.97509765625,86.13348388671875,1.0,116.86874389648438,106.85164642333984,0.9999997615814209
48,112.95279693603516,80.08573913574219,0.9999992251396179,90.89122772216797,114.28043365478516,0.9999998211860657,84.62572479248047,85.75009155273438,1.0,116.87397003173828,106.85164642333984,0.9999998211860657
49,113.49929809570312,80.08573913574219,0.9999994039535522,90.89122772216797,114.28043365478516,0.9999997019767761,84.62572479248047,85.75009155273438,1.0,116.87397003173828,106.85164642333984,0.9999998807907104
50,113.50691223144531,80.347412109375,0.9999995827674866,90.89122772216797,114.2694320678711,0.9999997019767761,84.62572479248047,85.75009155273438,1.0,116.86874389648438,106.8820571899414,0.9999997019767761
51,113.50691223144531,80.347412109375,0.9999996423721313,90.76111602783203,114.2694320678711,0.9999998211860657,84.56401824951172,85.75009155273438,1.0,116.76444244384766,106.8820571899414,0.9999997615814209
52,113.49929809570312,80.52167510986328,0.9999994039535522,90.68873596191406,114.2694320678711,0.9999996423721313,84.48616027832031,85.8182601928711,1.0,116.68659210205078,106.8820571899414,0.9999997615814209
53,113.33125305175781,80.52167510986328,0.9999991059303284,90.67337799072266,114.2694320678711,0.999999463558197,84.2847900390625,86.03046417236328,1.0,116.66603088378906,106.91524505615234,0.9999996423721313
54,113.0212631225586,80.52167510986328,0.9999991655349731,90.67313385009766,114.2694320678711,0.9999996423721313,83.84676361083984,86.05970001220703,1.0,116.56488800048828,106.79939270019531,0.9999996423721313
55,112.7543716430664,80.49482727050781,0.9999994039535522,90.650390625,114.23433685302734,0.9999997615814209,83.84676361083984,86.05970001220703,1.0,116.41781616210938,106.79939270019531,0.9999997615814209
