scorer,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000,DLC_resnet50_PupilleAug26shuffle1_380000
bodyparts,Top,Top,Top,Bottom,Bottom,Bottom,Left,Left,Left,Right,Right,Right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
58,51.83149338,50.12658691,1,71.56476593,69.52845001,1,54.55661011,68.59215546,1,72.18698883,52.57980728,1
59,51.68781662,50.12658691,1,71.38394165,69.52845001,1,54.47373199,68.4223175,1,72.10926056,52.57980728,1
60,51.68781662,50.18992996,1,71.38394165,69.52845001,1,54.42842865,68.41454315,1,72.08840942,52.57980728,1
61,51.5550499,50.01229858,1,71.37215424,69.52845001,1,54.42842865,68.34064484,1,71.97286987,52.57980728,1
62,51.53891373,50.00195694,1,71.38394165,69.43315125,1,54.42842865,68.33103943,1,71.97286987,52.50194931,1
63,51.53891373,49.95467377,1,71.38674164,69.43315125,1,54.42842865,68.34064484,1,72.03248596,52.50194931,1
64,51.76663208,49.93663025,1,71.44483948,69.21031952,1,54.45708466,68.34064484,1,72.07006836,52.50194931,1
65,51.76663208,49.93663025,1,71.38674164,69.09427643,1,54.79703522,68.39269257,1,72.03248596,52.50194931,1
66,51.92185211,49.93663025,1,71.38674164,69.03546143,1,54.82828522,68.41939545,1,72.03525543,52.50194931,1
67,51.93518066,49.96518326,1,71.36245728,69.03546143,1,54.9144516,68.41939545,1,72.07006836,52.5225029,1
68,51.9858017,49.96518326,1,71.30861664,69.03546143,1,54.9144516,68.41939545,1,72.10388947,52.72940826,1
69,51.9858017,49.96518326,1,71.2895813,69.06916809,1,54.84100723,68.35677338,1,72.03525543,52.72940826,1
70,51.9858017,49.98606873,1,71.274086,69.06916809,1,54.84100723,68.28036499,1,72.03525543,52.72940826,1
71,51.69120026,49.98606873,1,71.274086,69.16684723,1,54.74400711,68.2149353,1,71.69549561,52.70434189,1
72,51.66152573,49.98606873,1,71.14490509,69.16809082,1,54.71385193,68.15262604,1,71.55415344,52.67196274,1
73,51.66152573,50.03983307,1,71.13574982,69.16809082,1,54.6518631,68.15262604,1,71.55415344,52.63568497,1
74,51.66201019,50.03983307,1,71.13574982,69.24320984,1,54.6518631,68.15262604,1,71.55415344,52.63568497,1
75,51.66201019,50.07642365,1,71.0930481,69.16809082,1,54.74400711,68.15262604,1,71.591362,52.63568497,1
76,51.72489166,50.07642365,1,71.13574982,69.13303375,1,54.79427338,68.26135254,1,71.65084076,52.67196274,1
77,51.82881927,50.07642365,1,71.2520752,69.12041473,1,54.7980423,68.33138275,1,71.7873764,52.63988495,1
78,52.06674194,50.07642365,1,71.29566193,69.04740906,1,54.86627579,68.3575058,1,71.78887177,52.63988495,1
79,52.151474,50.07642365,1,71.2538147,68.934021,1,54.87880325,68.33138275,1,71.78887177,52.63988495,1
80,52.151474,50.16436386,1,71.2538147,68.934021,1,54.87880325,68.33138275,1,71.78887177,52.63988495,1
81,52.151474,50.16436386,1,71.2538147,68.934021,1,54.87675095,68.23616028,1,71.78591156,52.63988495,1
82,52.0917511,50.16436386,1,71.21076965,68.98033905,1,54.86627579,68.13148499,1,71.67685699,52.79949188,1
83,51.85326767,50.27334976,1,71.01055145,69.09047699,1,54.77508545,68.06790161,1,71.64272308,52.82505798,1
84,51.72781372,50.27768326,1,71.01055145,69.11199188,1,54.63056183,67.92234039,1,71.62091827,52.88660049,1
85,51.67733002,50.33846664,1,71.16370392,69.23075104,1,54.5672226,67.92234039,1,71.62091827,52.88660049,1
86,51.67733002,50.3906517,1,71.16370392,69.23075104,1,54.5672226,67.92234039,1,71.62091827,52.88660049,1
87,51.67733002,50.33846664,1,71.28866577,69.23075104,1,54.5672226,68.00776672,1,71.61748505,52.80317688,1
88,51.96448135,50.27768326,1,71.30008698,69.1087265,1,54.84299088,68.01960754,1,71.69065094,52.75704193,1
89,52.13378525,50.33846664,1,71.3624115,69.03730011,1,55.05738449,68.07879639,1,71.74077606,52.67569351,1
90,52.15805817,50.3906517,1,71.3822937,68.86475372,1,55.22512054,68.22624207,1,71.80738831,52.6556282,1
91,52.24469757,52.66904831,1,71.3822937,68.86475372,1,55.22512054,68.22624207,1,71.82807922,52.51679993,1
92,52.24469757,52.66904831,1,71.38668823,68.86475372,1,55.22512054,68.22624207,1,71.82807922,52.51679993,1
93,52.24469757,52.66904831,1,71.3822937,68.92268372,1,54.92796707,68.15274811,1,71.82807922,52.6556282,1
94,52.0241394,50.3863678,1,71.38668823,68.99547577,1,54.87731934,68.03302002,1,71.81097412,52.72185135,1
